1,00:00:00.00,00:00:03.06,%ignore%,
2,00:00:03.06,00:00:10.72,སྔོན་མ་ སྔོན་མ་ བུ་མོ་ གཞི་ ཡོད་རེད་ད་ ར ། ཨ་ནི་ འོ་ དེ་ མིང་ ལ་ ཡོད་བ །  བུ་མོ་ ,In the past. There was a girl 
3,00:00:10.72,00:00:18.25,ལྷ་སྒྲོན་ ལ་ ཡ་ ག་ཅི་ ཡོད་རེད་ད་ ར །  བུ་མོ་ ལྷ་ སྒྲོན་ དེ་ ཉི་མ་ རྟག་པར་ ར་ གཞི་ རྩེད་མོ་ རྩེ་ Astronaut བྱས་ ཉེ་ གྲོ་ཡི་ ཡོད་རེད་ད་ ར །,called Lhadon.she played every day. She wanted to be an astronaut. 
4,00:00:18.25,00:00:26.51,བུ་མོ་ དེ་ བསམ་ཚུལ་ དཔེ་ མང་པོ་ ཡོད་རེད་ད་ ར ། ང་ རྗེས་མ་ Astree ast … Astronaut བྱས་ དགོས་ བསམ ། ཡང་ ། ,She had got lots of ideas. I will be an astronaut in the future. 
5,00:00:26.51,00:00:33.65,Astronaut འགྲོ་ གྱོག་ ཞིག་ བསམ་བློ་ ཞིག་ སླེབས་གི་ ཡོད་རེད་ད་ ར ། མོ་རང་ མོ་རང་ ། མོ་རང་གི་ ཉི་མ་ གཅིག་ བསམ་བློ་ ནང་ ། ཨ་མ་ཡི་ ཡང་ ལབ་ རེད་ད ། ,"Even she wanted to go there. One day in her imagination, mother told her."
6,00:00:33.65,00:00:38.87,ཡང་ dinosaur ག་ཅི་ རྩེད་མོ་ ཡོད་ གྱོག་ དེ་ཚོ་ dinosaurགི་ རྩེད་མོ་ ,"Though, she played with dinosaur toys.  Again, she thought "
7,00:00:38.87,00:00:47.07,བཟོས་ གྱོག་ རྩེད་མོ་ རྩེ་ སྡད་ རེད་ད་ ར ། མོས་ བསམ་ རེད་ད་ ར ། ཡང་ ཉི་མ་ གཅིག་ dinosaur དང་ ཆུ་སྲིན་ དེ་ ཚོ་ designer ,and said  “I would be a dinosaur and crocodiles designer.” 
8,00:00:47.07,00:00:55.55,ཅིག་ ཆགས་བ་ ཤོག་ ལབ་ རེད་ད་ ར ། ཨ་ནི ། རྗེས་ལ་ ཡང་མོ་ cricket རྩེད་ ཉན་ cricket རྩེད་ གྱོག་ ག་ཅི་ བསམ་བློ་ གཞི་ འཁོར་ རེད་ད ། ཡང་ མོ་ cricket རྩེད་ གྱོག་ བསམ་བློ་ གཏང་ རེད་ད་ ར ། ,"Then, again in her imagination playing cricket. "
9,00:00:55.55,00:01:01.82,ཡང་ ། རྗེས་ལ་ ཡང་ མོ་ construction འགྲོ་ གྱོག་ ག་ཅི ། མི་ ཞིག་ བྱས་ ཉིད་ གྲོ་ རེད་ད་ ར ། construction བྱེད ། ཡང་ ,"Well, again she wanted to be a constructor. and went there in her imagination. "
10,00:01:01.82,00:01:09.67,ཡང་ construction ནས་ ཡང་ མོ་ འགྱུར་བ་ ཐེབས་ རེད་ད་ ར ། ལམ་སང་ ། ང་ ཚེམ་བུ་ རྒྱག་ མཁན་ མི་ ཞིག་ ཆགས་པ་ ཤོག་ ལབ་ ནས་ བསྡད་ བསྡད་ རེད་ད་ ར་ ། ཡང་ མོ་ རང་ drum རྡུང་ རེད་ད །  ཡང་ མོ །,"So far, she changed her mind very quickly. And she wished that she would be a tailor and stayed. Again she played the drums. "
11,00:01:09.67,00:01:18.44, མོ་རང་ མོ་རང་ biggest ག་ཅི་ young ག་ཅི་ག་ རེད་ འདི drum གཏང་མཁན་ ཞིག་ ཆགས་པ་ ཤོག་ ལབ་ རེད །,And she hoped to become the biggest young drum player. 
